@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
12,10,4,-2,Stop
1,6,4,-2,Stop
1,11,4,0,Stop
1,6,4,-1,Stop
1,11,4,-1,Stop
12,10,4,0,Stop
12,10,4,-1,Stop
1,11,4,-2,Stop
1,18,4,-1,Stop
1,18,4,-4,Stop
1,6,4,-2,Stop
1,11,4,-3,Stop
1,6,4,-2,Stop
1,11,4,-1,Stop
1,11,4,-1,Stop
1,18,4,-1,Stop
1,18,4,0,Stop
1,18,4,-1,Stop
12,10,4,-2,Stop
1,18,4,-2,Stop
12,10,4,-1,Stop
1,11,4,0,Stop
1,11,4,0,Stop
1,11,4,-1,Stop
1,11,4,-1,Stop
1,18,4,-5,Stop
12,10,4,0,Stop
1,18,4,-5,Stop
1,18,4,0,Stop
1,11,4,0,Stop
12,10,4,0,Stop
1,11,4,-3,Stop
1,6,4,-1,Stop
1,6,4,-2,Stop
1,18,4,0,Stop
12,10,4,-2,Stop
1,11,4,-2,Stop
1,18,4,-1,Stop
1,18,4,0,Stop
1,11,4,0,Stop
1,11,4,-3,Stop
1,11,4,-1,Stop
12,10,4,0,Stop
1,6,4,-1,Stop
12,10,4,-2,Stop
1,18,4,0,Stop
1,18,4,0,Stop
1,18,4,0,Stop
1,6,4,-2,Stop
1,6,4,0,Stop
1,18,4,-1,Stop
12,10,4,-2,Stop
1,18,4,0,Stop
12,10,4,-2,Stop
12,10,4,-2,Stop
12,10,4,0,Stop
1,18,4,0,Stop
1,11,4,0,Stop
1,18,4,-5,Stop
1,11,4,0,Stop
1,11,4,-2,Stop
1,18,4,-4,Stop
1,18,4,-1,Stop
12,10,4,-2,Stop
1,6,4,-2,Stop
12,10,4,-2,Stop
1,11,4,-1,Stop
1,18,4,-4,Stop
1,11,4,-1,Stop
12,10,4,-1,Stop
1,11,4,0,Stop
12,10,4,0,Stop
12,10,4,0,Stop
12,10,4,0,Stop
1,11,4,-2,Stop
1,18,4,0,Stop
1,18,4,-1,Stop
1,11,4,0,Stop
1,18,4,0,Stop
12,10,4,-1,Stop
1,18,4,0,Stop
1,11,4,-2,Stop
1,6,4,-3,Stop
1,11,4,-2,Stop
1,18,4,0,Stop
1,18,4,0,Stop
1,11,4,0,Stop
1,6,4,0,Stop
1,18,4,-4,Stop
1,11,4,-1,Stop
12,10,4,-2,Stop
8,9,2,372,North
6,9,1,575,North
11,4,1,570,North
3,9,4,-19,North
11,7,3,162,North
12,8,3,179,North
6,12,1,572,North
10,11,2,349,North
11,11,2,357,North
14,11,4,-5,North
5,7,1,578,North
6,9,1,575,North
13,12,3,193,North
8,4,2,370,North
11,5,2,363,North
8,4,2,368,North
13,12,3,193,North
5,6,2,375,North
14,7,1,564,North
10,9,3,159,North
9,6,3,165,North
10,10,2,350,North
6,8,1,576,North
8,4,2,371,North
11,7,2,361,North
3,9,4,-19,North
6,8,1,572,North
14,6,1,565,North
6,8,1,572,North
14,11,4,-5,North
11,4,2,364,North
8,4,2,370,North
6,7,1,573,North
5,7,1,578,North
10,11,2,349,North
8,4,2,371,North
23,5,1,523,North
11,7,2,361,North
13,12,3,193,North
5,7,1,578,North
8,10,2,371,North
6,10,3,189,North
10,12,2,348,North
10,10,2,350,North
11,4,1,570,North
8,4,2,368,North
8,4,2,369,North
5,7,4,-18,North
8,11,2,370,North
6,11,1,573,North
3,8,4,-18,North
11,8,2,360,North
14,6,1,565,North
14,7,1,564,North
9,7,3,170,North
11,8,2,360,North
10,9,3,159,North
9,6,3,165,North
8,4,2,369,North
9,7,3,170,North
6,9,1,571,North
23,5,1,523,North
13,12,4,-7,North
11,10,2,358,North
10,9,3,159,North
6,8,1,572,North
11,5,2,363,North
5,6,2,375,North
6,12,1,572,North
13,12,4,-7,North
10,11,2,349,North
6,8,1,576,North
8,12,2,369,North
13,12,3,193,North
10,8,3,160,North
10,9,3,159,North
14,6,1,565,North
3,8,4,-18,North
6,10,1,574,North
11,5,1,569,North
9,6,3,165,North
14,6,1,565,North
8,4,2,369,North
6,7,1,573,North
14,11,4,-5,North
11,11,2,357,North
12,8,3,179,North
11,12,2,356,North
8,4,2,368,North
5,7,1,578,North
5,7,1,578,North
14,13,3,188,South
5,9,4,-9,South
1,8,4,-11,South
6,6,3,175,South
1,16,4,-3,South
14,8,2,377,South
1,7,4,-13,South
13,7,3,181,South
1,12,4,-11,South
25,4,1,520,South
13,8,2,350,South
1,16,4,-3,South
7,11,1,559,South
1,12,4,-7,South
1,14,4,-5,South
13,8,2,350,South
10,4,3,169,South
4,3,2,372,South
9,4,2,379,South
13,6,2,339,South
1,17,4,-3,South
1,16,4,-7,South
10,10,2,383,South
13,10,3,191,South
13,6,2,387,South
5,9,4,-9,South
13,8,2,350,South
1,11,4,-12,South
7,6,1,554,South
25,4,1,520,South
1,9,4,-10,South
1,10,4,-13,South
13,7,3,181,South
7,8,1,556,South
14,10,3,185,South
13,11,2,353,South
13,5,2,338,South
