@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
4,13,0,Stop,-1
4,13,-1,Stop,-2
4,14,-2,Stop,-3
4,15,-3,Stop,-4
4,14,-4,Stop,-5
4,15,-5,Stop,-6
4,13,-6,South,-7
4,12,-7,South,-8
4,10,-8,South,-9
4,10,-9,South,-10
4,8,-10,South,-11
4,8,-11,South,-12
4,6,-12,South,-13
4,5,-13,South,-14
4,4,-14,South,-15
4,4,-15,South,-16
4,3,-16,South,-17
4,2,-17,South,-18
4,2,-18,South,-19
4,2,-19,East,-20
3,2,180,East,179
3,2,179,East,178
3,2,178,East,177
3,3,177,East,176
3,1,176,North,375
2,5,375,West,374
2,3,374,South,373
2,2,373,South,372
2,1,372,South,571
1,3,571,West,570
1,3,570,West,569
1,1,569,East,768
4,13,0,Stop,-1
4,13,-1,Stop,-2
4,12,-2,South,-3
4,11,-3,South,-4
4,10,-4,South,-5
4,9,-5,South,-6
4,8,-6,South,-7
4,7,-7,South,-8
4,6,-8,South,-9
4,5,-9,South,-10
4,4,-10,South,-11
4,5,-11,South,-12
4,4,-12,South,-13
4,3,-13,South,-14
4,2,-14,South,-15
4,1,-15,South,-16
4,1,-16,East,183
3,1,183,South,382
2,8,382,West,381
2,7,381,North,380
2,6,380,East,379
2,5,379,East,378
2,4,378,East,377
2,3,377,East,376
2,2,376,North,375
2,1,375,North,574
1,4,574,East,573
1,3,573,North,572
1,2,572,North,571
1,1,571,North,770
4,13,0,Stop,-1
4,13,-1,Stop,-2
4,13,-2,Stop,-3
4,12,-3,South,-4
4,11,-4,South,-5
4,10,-5,South,-6
4,9,-6,South,-7
4,8,-7,South,-8
4,7,-8,South,-9
4,6,-9,South,-10
4,5,-10,South,-11
4,4,-11,South,-12
4,5,-12,South,-13
4,6,-13,South,-14
4,7,-14,South,-15
4,6,-15,East,-16
4,5,-16,East,-17
4,4,-17,North,-18
4,3,-18,North,-19
4,2,-19,North,-20
4,1,-20,East,179
3,12,179,East,178
3,11,178,East,177
3,10,177,South,176
3,9,176,South,175
3,8,175,South,174
3,7,174,East,173
3,6,173,East,172
3,5,172,East,171
3,4,171,East,170
3,3,170,South,169
3,2,169,South,168
3,1,168,South,167
3,2,167,North,166
3,1,166,East,365
2,9,365,South,364
2,8,364,North,363
2,7,363,North,362
2,6,362,North,361
2,7,361,North,360
2,8,360,North,359
2,9,359,North,358
2,10,358,North,357
2,11,357,North,356
2,12,356,North,355
2,11,355,East,354
2,10,354,East,353
2,9,353,South,352
2,8,352,South,351
2,7,351,South,350
2,6,350,South,349
2,5,349,South,348
2,4,348,South,347
2,3,347,East,346
2,2,346,East,345
2,1,345,East,544
1,9,544,East,543
1,8,543,East,542
1,7,542,East,541
1,6,541,East,540
1,5,540,East,539
1,4,539,East,538
1,3,538,East,537
1,2,537,East,536
1,1,536,East,735
4,13,0,Stop,-1
4,14,-1,Stop,-2
4,13,-2,South,-3
4,13,-3,South,-4
4,12,-4,South,-5
4,12,-5,South,-6
4,12,-6,South,-7
4,12,-7,South,-8
4,10,-8,South,-9
