@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
12,10,3,-2,Stop
1,6,5,-2,Stop
1,11,7,0,Stop
1,6,7,-1,Stop
1,11,7,-1,Stop
12,10,3,0,Stop
12,10,3,-1,Stop
1,11,7,-2,Stop
1,18,13,-1,Stop
1,18,14,-4,Stop
1,6,5,-2,Stop
1,11,7,-3,Stop
1,6,7,-2,Stop
1,11,8,-1,Stop
1,11,8,-1,Stop
1,18,13,-1,Stop
1,18,13,0,Stop
1,18,13,-1,Stop
12,10,3,-2,Stop
1,18,14,-2,Stop
12,10,3,-1,Stop
1,11,7,0,Stop
1,11,7,0,Stop
1,11,7,-1,Stop
1,11,7,-1,Stop
1,18,15,-5,Stop
12,10,3,0,Stop
1,18,15,-5,Stop
1,18,13,0,Stop
1,11,7,0,Stop
12,10,3,0,Stop
1,11,7,-3,Stop
1,6,7,-1,Stop
1,6,7,-2,Stop
1,18,13,0,Stop
12,10,3,-2,Stop
1,11,7,-2,Stop
1,18,14,-1,Stop
1,18,13,0,Stop
1,11,7,0,Stop
1,11,7,-3,Stop
1,11,7,-1,Stop
12,10,3,0,Stop
1,6,7,-1,Stop
12,10,3,-2,Stop
1,18,13,0,Stop
1,18,13,0,Stop
1,18,13,0,Stop
1,6,5,-2,Stop
1,6,7,0,Stop
1,18,13,-1,Stop
12,10,3,-2,Stop
1,18,13,0,Stop
12,10,3,-2,Stop
12,10,3,-2,Stop
12,10,3,0,Stop
1,18,13,0,Stop
1,11,7,0,Stop
1,18,15,-5,Stop
1,11,7,0,Stop
1,11,7,-2,Stop
1,18,14,-4,Stop
1,18,13,-1,Stop
12,10,3,-2,Stop
1,6,5,-2,Stop
12,10,3,-2,Stop
1,11,7,-1,Stop
1,18,14,-4,Stop
1,11,7,-1,Stop
12,10,3,-1,Stop
1,11,7,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
12,10,3,0,Stop
1,11,7,-2,Stop
1,18,13,0,Stop
1,18,13,-1,Stop
1,11,7,0,Stop
1,18,13,0,Stop
12,10,4,-1,Stop
1,18,13,0,Stop
1,11,7,-2,Stop
1,6,7,-3,Stop
1,11,7,-2,Stop
1,18,13,0,Stop
1,18,13,0,Stop
1,11,7,0,Stop
1,6,7,0,Stop
1,18,14,-4,Stop
1,11,8,-1,Stop
12,10,3,-2,Stop
8,9,7,372,North
6,9,4,575,North
11,4,7,570,North
3,9,2,-19,North
11,7,3,162,North
12,8,1,179,North
6,12,1,572,North
10,11,17,349,North
11,11,11,357,North
14,11,2,-5,North
5,7,5,578,North
6,9,4,575,North
13,12,6,193,North
8,4,7,370,North
11,5,7,363,North
8,4,7,368,North
13,12,6,193,North
5,6,1,375,North
14,7,4,564,North
10,9,1,159,North
9,6,3,165,North
10,10,16,350,North
6,8,5,576,North
8,4,7,371,North
11,7,7,361,North
3,9,2,-19,North
6,8,2,572,North
14,6,4,565,North
6,8,2,572,North
14,11,3,-5,North
11,4,8,364,North
8,4,7,370,North
6,7,3,573,North
5,7,5,578,North
10,11,17,349,North
8,4,7,371,North
23,5,4,523,North
11,7,7,361,North
13,12,6,193,North
5,7,5,578,North
8,10,7,371,North
6,10,3,189,North
10,12,18,348,North
10,10,16,350,North
11,4,7,570,North
8,4,7,368,North
8,4,6,369,North
5,7,2,-18,North
8,11,6,370,North
6,11,2,573,North
3,8,3,-18,North
11,8,8,360,North
14,6,4,565,North
14,7,4,564,North
9,7,2,170,North
11,8,8,360,North
10,9,1,159,North
9,6,3,165,North
8,4,6,369,North
9,7,2,170,North
6,9,1,571,North
23,5,4,523,North
13,12,3,-7,North
11,10,10,358,North
10,9,1,159,North
6,8,2,572,North
11,5,7,363,North
5,6,1,375,North
6,12,1,572,North
13,12,3,-7,North
10,11,17,349,North
6,8,5,576,North
8,12,6,369,North
13,12,6,193,North
10,8,1,160,North
10,9,1,159,North
14,6,4,565,North
3,8,3,-18,North
6,10,3,574,North
11,5,5,569,North
9,6,3,165,North
14,6,4,565,North
8,4,6,369,North
6,7,3,573,North
14,11,2,-5,North
11,11,11,357,North
12,8,1,179,North
11,12,12,356,North
8,4,7,368,North
5,7,5,578,North
5,7,5,578,North
14,13,10,188,South
5,9,1,-9,South
1,8,8,-11,South
6,6,8,175,South
1,16,13,-3,South
14,8,2,377,South
1,7,6,-13,South
13,7,2,181,South
1,12,8,-11,South
25,4,4,520,South
13,8,6,350,South
1,16,11,-3,South
7,11,10,559,South
1,12,12,-7,South
1,14,9,-5,South
13,8,6,350,South
10,4,2,169,South
4,3,1,372,South
9,4,3,379,South
13,6,6,339,South
1,17,12,-3,South
1,16,12,-7,South
10,10,8,383,South
13,10,4,191,South
13,6,8,387,South
5,9,1,-9,South
13,8,6,350,South
1,11,6,-12,South
7,6,3,554,South
25,4,4,520,South
1,9,8,-10,South
1,10,5,-13,South
13,7,2,181,South
7,8,5,556,South
14,10,5,185,South
13,11,9,353,South
13,5,6,338,South
1,13,8,-10,South
13,5,6,338,South
1,6,6,-13,South
10,10,6,388,South
1,14,9,-6,South
1,9,4,-11,South
10,8,4,386,South
1,12,7,-7,South
1,9,4,-14,South
10,5,3,170,South
1,17,12,-3,South
1,16,11,-3,South
1,8,5,-12,South
1,10,10,-9,South
1,17,13,-6,South
11,3,9,365,South
1,6,2,-17,South
1,11,10,-8,South
4,4,2,373,South
7,7,5,555,South
1,8,5,-11,South
13,7,2,181,South
1,9,4,-11,South
10,10,6,388,South
13,7,2,181,South
14,5,1,538,South
13,6,6,339,South
1,16,11,-4,South
1,8,8,-11,South
5,9,1,-9,South
1,15,10,-4,South
1,12,8,-11,South
1,9,4,-10,South
14,6,9,575,South
1,15,10,-8,South
10,7,1,155,South
10,7,4,385,South
1,13,8,-7,South
1,8,5,-11,South
1,13,12,-6,South
1,5,2,-14,South
13,10,4,191,South
5,10,2,-8,South
1,7,3,-16,South
5,10,2,-8,South
10,10,8,383,South
1,12,8,-11,South
1,6,2,-17,South
1,6,7,-14,South
9,3,2,378,South
9,8,2,157,South
14,7,1,376,South
16,3,5,379,South
9,6,2,167,South
15,4,2,548,East
10,3,1,373,East
9,6,2,171,East
9,4,7,554,East
7,6,2,173,East
10,6,4,189,East
18,4,2,545,East
14,6,4,185,East
19,4,2,328,East
7,4,7,556,East
21,6,5,540,East
4,12,8,563,East
10,11,9,384,East
4,11,2,-5,East
14,6,3,347,East
13,12,14,345,East
5,11,3,-7,East
16,6,1,345,East
13,12,10,354,East
19,6,7,542,East
4,12,8,563,East
13,9,4,379,East
