@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
12,10,4,3,-2,Stop
1,6,4,5,-2,Stop
1,11,4,7,0,Stop
1,6,4,7,-1,Stop
1,11,4,7,-1,Stop
12,10,4,3,0,Stop
12,10,4,3,-1,Stop
1,11,4,7,-2,Stop
1,18,4,13,-1,Stop
1,18,4,14,-4,Stop
1,6,4,5,-2,Stop
1,11,4,7,-3,Stop
1,6,4,7,-2,Stop
1,11,4,8,-1,Stop
1,11,4,8,-1,Stop
1,18,4,13,-1,Stop
1,18,4,13,0,Stop
1,18,4,13,-1,Stop
12,10,4,3,-2,Stop
1,18,4,14,-2,Stop
12,10,4,3,-1,Stop
1,11,4,7,0,Stop
1,11,4,7,0,Stop
1,11,4,7,-1,Stop
1,11,4,7,-1,Stop
1,18,4,15,-5,Stop
12,10,4,3,0,Stop
1,18,4,15,-5,Stop
1,18,4,13,0,Stop
1,11,4,7,0,Stop
12,10,4,3,0,Stop
1,11,4,7,-3,Stop
1,6,4,7,-1,Stop
1,6,4,7,-2,Stop
1,18,4,13,0,Stop
12,10,4,3,-2,Stop
1,11,4,7,-2,Stop
1,18,4,14,-1,Stop
1,18,4,13,0,Stop
1,11,4,7,0,Stop
1,11,4,7,-3,Stop
1,11,4,7,-1,Stop
12,10,4,3,0,Stop
1,6,4,7,-1,Stop
12,10,4,3,-2,Stop
1,18,4,13,0,Stop
1,18,4,13,0,Stop
1,18,4,13,0,Stop
1,6,4,5,-2,Stop
1,6,4,7,0,Stop
1,18,4,13,-1,Stop
12,10,4,3,-2,Stop
1,18,4,13,0,Stop
12,10,4,3,-2,Stop
12,10,4,3,-2,Stop
12,10,4,3,0,Stop
1,18,4,13,0,Stop
1,11,4,7,0,Stop
1,18,4,15,-5,Stop
1,11,4,7,0,Stop
1,11,4,7,-2,Stop
1,18,4,14,-4,Stop
1,18,4,13,-1,Stop
12,10,4,3,-2,Stop
1,6,4,5,-2,Stop
12,10,4,3,-2,Stop
1,11,4,7,-1,Stop
1,18,4,14,-4,Stop
1,11,4,7,-1,Stop
12,10,4,3,-1,Stop
1,11,4,7,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
12,10,4,3,0,Stop
1,11,4,7,-2,Stop
1,18,4,13,0,Stop
1,18,4,13,-1,Stop
1,11,4,7,0,Stop
1,18,4,13,0,Stop
12,10,4,4,-1,Stop
1,18,4,13,0,Stop
1,11,4,7,-2,Stop
1,6,4,7,-3,Stop
1,11,4,7,-2,Stop
1,18,4,13,0,Stop
1,18,4,13,0,Stop
1,11,4,7,0,Stop
1,6,4,7,0,Stop
1,18,4,14,-4,Stop
1,11,4,8,-1,Stop
12,10,4,3,-2,Stop
8,9,2,7,372,North
6,9,1,4,575,North
